neighborhood,ucrDescription,number
HARRISON,Arson,1.0
HARRISON,Auto Theft,48.0
HARRISON,Burglary,50.0
HARRISON,Homicide,0.0
HARRISON,Larceny,156.0
HARRISON,Rape,8.0
HARRISON,Robbery,21.0
HAWTHORNE,Aggravated Assault,203.0
HAWTHORNE,Arson,8.0
HAWTHORNE,Auto Theft,163.0
HAWTHORNE,Burglary,98.0
HAWTHORNE,Homicide,2.0
HAWTHORNE,Larceny,368.0
HAWTHORNE,Rape,32.0
HAWTHORNE,Robbery,112.0
HIAWATHA,Aggravated Assault,14.0
HIAWATHA,Arson,0.0
HIAWATHA,Auto Theft,50.0
HIAWATHA,Burglary,78.0
HIAWATHA,Homicide,0.0
HIAWATHA,Larceny,301.0
HIAWATHA,Rape,6.0
HIAWATHA,Robbery,25.0
HOLLAND,Aggravated Assault,30.0
HOLLAND,Arson,0.0
HOLLAND,Auto Theft,52.0
HOLLAND,Burglary,84.0
HOLLAND,Homicide,0.0
HOLLAND,Larceny,167.0
HOLLAND,Rape,11.0
HOLLAND,Robbery,42.0
HOWE,Aggravated Assault,26.0
HOWE,Arson,1.0
HOWE,Auto Theft,58.0
HOWE,Burglary,98.0
HOWE,Homicide,0.0
HOWE,Larceny,239.0
HOWE,Rape,3.0
HOWE,Robbery,10.0
HUMBOLDT INDUSTRIAL AREA,Aggravated Assault,0.0
HUMBOLDT INDUSTRIAL AREA,Arson,0.0
HUMBOLDT INDUSTRIAL AREA,Auto Theft,2.0
HUMBOLDT INDUSTRIAL AREA,Burglary,2.0
HUMBOLDT INDUSTRIAL AREA,Homicide,0.0
HUMBOLDT INDUSTRIAL AREA,Larceny,5.0
HUMBOLDT INDUSTRIAL AREA,Rape,0.0
HUMBOLDT INDUSTRIAL AREA,Robbery,0.0
JORDAN,Aggravated Assault,212.0
JORDAN,Arson,20.0
JORDAN,Auto Theft,170.0
JORDAN,Burglary,189.0
JORDAN,Homicide,2.0
JORDAN,Larceny,405.0
JORDAN,Rape,32.0
JORDAN,Robbery,115.0
KEEWAYDIN,Aggravated Assault,5.0
KEEWAYDIN,Arson,0.0
KEEWAYDIN,Auto Theft,16.0
KEEWAYDIN,Burglary,37.0
KEEWAYDIN,Homicide,0.0
KEEWAYDIN,Larceny,98.0
KEEWAYDIN,Rape,1.0
KEEWAYDIN,Robbery,3.0
KENNY,Aggravated Assault,3.0
KENNY,Arson,0.0
KENNY,Auto Theft,16.0
KENNY,Burglary,36.0
KENNY,Homicide,0.0
KENNY,Larceny,69.0
KENNY,Rape,1.0
KENNY,Robbery,2.0
KENWOOD,Aggravated Assault,2.0
KENWOOD,Arson,0.0
KENWOOD,Auto Theft,4.0
KENWOOD,Burglary,14.0
KENWOOD,Homicide,0.0
KENWOOD,Larceny,42.0
KENWOOD,Rape,1.0
KENWOOD,Robbery,1.0
KING FIELD,Aggravated Assault,15.0
KING FIELD,Arson,1.0
KING FIELD,Auto Theft,40.0
KING FIELD,Burglary,130.0
KING FIELD,Homicide,2.0
KING FIELD,Larceny,238.0
KING FIELD,Rape,4.0
KING FIELD,Robbery,17.0
LIND - BOHANON,Aggravated Assault,84.0
LIND - BOHANON,Arson,5.0
LIND - BOHANON,Auto Theft,80.0
LIND - BOHANON,Burglary,130.0
LIND - BOHANON,Homicide,2.0
LIND - BOHANON,Larceny,178.0
LIND - BOHANON,Rape,13.0
LIND - BOHANON,Robbery,24.0
LINDEN HILLS,Aggravated Assault,6.0
LINDEN HILLS,Arson,2.0
LINDEN HILLS,Auto Theft,25.0
LINDEN HILLS,Burglary,63.0
LINDEN HILLS,Homicide,0.0
LINDEN HILLS,Larceny,182.0
LINDEN HILLS,Rape,1.0
LINDEN HILLS,Robbery,2.0
LOGAN PARK,Aggravated Assault,11.0
LOGAN PARK,Arson,0.0
LOGAN PARK,Auto Theft,19.0
LOGAN PARK,Burglary,38.0
LOGAN PARK,Homicide,0.0
LOGAN PARK,Larceny,98.0
LOGAN PARK,Rape,2.0
LOGAN PARK,Robbery,9.0
LONGFELLOW,Aggravated Assault,53.0
LONGFELLOW,Arson,4.0
LONGFELLOW,Auto Theft,94.0
LONGFELLOW,Burglary,122.0
LONGFELLOW,Homicide,1.0
LONGFELLOW,Larceny,917.0
